Entrez_Gene_Id	barcode_full	expression	gene	barcode
100169752	TCGA-DG-A2KL-01A	0	TEX36-AS1	TCGA-DG-A2KL
100169752	TCGA-DG-A2KM-01A	1	TEX36-AS1	TCGA-DG-A2KM
100169752	TCGA-DR-A0ZL-01A	1	TEX36-AS1	TCGA-DR-A0ZL
100169752	TCGA-DR-A0ZM-01A	0	TEX36-AS1	TCGA-DR-A0ZM
100169752	TCGA-DS-A0VK-01A	0	TEX36-AS1	TCGA-DS-A0VK
100169752	TCGA-DS-A0VL-01A	0	TEX36-AS1	TCGA-DS-A0VL
100169752	TCGA-DS-A0VM-01A	0	TEX36-AS1	TCGA-DS-A0VM
100169752	TCGA-DS-A0VN-01A	0	TEX36-AS1	TCGA-DS-A0VN
100169752	TCGA-DS-A1O9-01A	0	TEX36-AS1	TCGA-DS-A1O9
100169752	TCGA-DS-A1OA-01A	0	TEX36-AS1	TCGA-DS-A1OA
100169752	TCGA-DS-A1OB-01A	0	TEX36-AS1	TCGA-DS-A1OB
100169752	TCGA-DS-A1OC-01A	0	TEX36-AS1	TCGA-DS-A1OC
100169752	TCGA-DS-A1OD-01A	0	TEX36-AS1	TCGA-DS-A1OD
100169752	TCGA-DS-A3LQ-01A	0	TEX36-AS1	TCGA-DS-A3LQ
100169752	TCGA-DS-A5RQ-01A	0	TEX36-AS1	TCGA-DS-A5RQ
100169752	TCGA-DS-A7WF-01A	0	TEX36-AS1	TCGA-DS-A7WF
100169752	TCGA-DS-A7WH-01A	0	TEX36-AS1	TCGA-DS-A7WH
100169752	TCGA-DS-A7WI-01A	0	TEX36-AS1	TCGA-DS-A7WI
100169752	TCGA-EA-A1QS-01A	0	TEX36-AS1	TCGA-EA-A1QS
100169752	TCGA-EA-A1QT-01A	0	TEX36-AS1	TCGA-EA-A1QT
100169752	TCGA-EA-A3HQ-01A	0	TEX36-AS1	TCGA-EA-A3HQ
100169752	TCGA-EA-A3HR-01A	0	TEX36-AS1	TCGA-EA-A3HR
100169752	TCGA-EA-A3HS-01A	0	TEX36-AS1	TCGA-EA-A3HS
100169752	TCGA-EA-A3HT-01A	0	TEX36-AS1	TCGA-EA-A3HT
100169752	TCGA-EA-A3HU-01A	0	TEX36-AS1	TCGA-EA-A3HU
100169752	TCGA-EA-A3QD-01A	0	TEX36-AS1	TCGA-EA-A3QD
100169752	TCGA-EA-A3QE-01A	0	TEX36-AS1	TCGA-EA-A3QE
100169752	TCGA-EA-A3Y4-01A	0	TEX36-AS1	TCGA-EA-A3Y4
100169752	TCGA-EA-A410-01A	0	TEX36-AS1	TCGA-EA-A410
100169752	TCGA-EA-A411-01A	0	TEX36-AS1	TCGA-EA-A411
100169752	TCGA-EA-A439-01A	0	TEX36-AS1	TCGA-EA-A439
100169752	TCGA-EA-A43B-01A	0	TEX36-AS1	TCGA-EA-A43B
100169752	TCGA-EA-A44S-01A	0	TEX36-AS1	TCGA-EA-A44S
100169752	TCGA-EA-A4BA-01A	0	TEX36-AS1	TCGA-EA-A4BA
