gene	barcode_full	expression	barcode
LINC00930	TCGA-AY-A8YK-01	0.2298	TCGA-AY-A8YK
LINC00930	TCGA-AZ-4313-01	0.245	TCGA-AZ-4313
LINC00930	TCGA-AZ-4315-01	-1.2193	TCGA-AZ-4315
LINC00930	TCGA-AZ-4323-01	0.5995	TCGA-AZ-4323
LINC00930	TCGA-AZ-4614-01	-0.8058	TCGA-AZ-4614
LINC00930	TCGA-AZ-4615-01	-0.1559	TCGA-AZ-4615
LINC00930	TCGA-AZ-4616-01	-0.3848	TCGA-AZ-4616
LINC00930	TCGA-AZ-4682-01	-0.252	TCGA-AZ-4682
LINC00930	TCGA-AZ-4684-01	-0.4133	TCGA-AZ-4684
LINC00930	TCGA-AZ-5403-01	-0.7603	TCGA-AZ-5403
LINC00930	TCGA-AZ-5407-01	-0.6664	TCGA-AZ-5407
LINC00930	TCGA-AZ-6598-01	-0.3354	TCGA-AZ-6598
LINC00930	TCGA-AZ-6599-01	3.5367	TCGA-AZ-6599
LINC00930	TCGA-AZ-6600-01	-0.7924	TCGA-AZ-6600
LINC00930	TCGA-AZ-6603-01	-0.8431	TCGA-AZ-6603
LINC00930	TCGA-AZ-6605-01	0.094	TCGA-AZ-6605
LINC00930	TCGA-AZ-6606-01	-0.4887	TCGA-AZ-6606
LINC00930	TCGA-AZ-6607-01	-1.2193	TCGA-AZ-6607
LINC00930	TCGA-CA-5254-01	-0.8316	TCGA-CA-5254
LINC00930	TCGA-CA-5255-01	0.5495	TCGA-CA-5255
LINC00930	TCGA-CA-5256-01	-1.2193	TCGA-CA-5256
LINC00930	TCGA-CA-5796-01	0.6825	TCGA-CA-5796
LINC00930	TCGA-CA-5797-01	-1.2193	TCGA-CA-5797
LINC00930	TCGA-CA-6715-01	-1.2193	TCGA-CA-6715
LINC00930	TCGA-CA-6716-01	-0.4777	TCGA-CA-6716
LINC00930	TCGA-CA-6717-01	-0.7706	TCGA-CA-6717
LINC00930	TCGA-CA-6718-01	-1.2193	TCGA-CA-6718
LINC00930	TCGA-CA-6719-01	-0.7595	TCGA-CA-6719
LINC00930	TCGA-CK-4947-01	-1.2193	TCGA-CK-4947
LINC00930	TCGA-CK-4948-01	-1.2193	TCGA-CK-4948
LINC00930	TCGA-CK-4950-01	0.1106	TCGA-CK-4950
LINC00930	TCGA-CK-4951-01	-1.2193	TCGA-CK-4951
LINC00930	TCGA-CK-4952-01	0.1254	TCGA-CK-4952
LINC00930	TCGA-CK-5912-01	-1.2193	TCGA-CK-5912
LINC00930	TCGA-CK-5913-01	-0.4824	TCGA-CK-5913
LINC00930	TCGA-CK-5914-01	-1.2193	TCGA-CK-5914
LINC00930	TCGA-CK-5915-01	-1.2193	TCGA-CK-5915
LINC00930	TCGA-CK-5916-01	-1.2193	TCGA-CK-5916
LINC00930	TCGA-CK-6746-01	-1.2193	TCGA-CK-6746
LINC00930	TCGA-CK-6747-01	-0.5544	TCGA-CK-6747
LINC00930	TCGA-CK-6748-01	-1.2193	TCGA-CK-6748
LINC00930	TCGA-CK-6751-01	-1.2193	TCGA-CK-6751
LINC00930	TCGA-CM-4743-01	-1.2193	TCGA-CM-4743
LINC00930	TCGA-CM-4744-01	-1.2193	TCGA-CM-4744
LINC00930	TCGA-CM-4747-01	-0.7453	TCGA-CM-4747
LINC00930	TCGA-CM-4751-01	0.3736	TCGA-CM-4751
LINC00930	TCGA-CM-5344-01	-0.7353	TCGA-CM-5344
LINC00930	TCGA-CM-5348-01	-0.4835	TCGA-CM-5348
LINC00930	TCGA-CM-5349-01	-0.0223	TCGA-CM-5349
LINC00930	TCGA-CM-5860-01	-1.2193	TCGA-CM-5860
LINC00930	TCGA-CM-5861-01	-0.1559	TCGA-CM-5861
LINC00930	TCGA-CM-5862-01	-1.2193	TCGA-CM-5862
LINC00930	TCGA-CM-5863-01	2.0449	TCGA-CM-5863
LINC00930	TCGA-CM-5864-01	-1.2193	TCGA-CM-5864
LINC00930	TCGA-CM-5868-01	-1.2193	TCGA-CM-5868
LINC00930	TCGA-CM-6161-01	0.6876	TCGA-CM-6161
